fid,hechos_id,latitud,mes_largo,sievi_clas,hipotesis_,medio_cono,smuertos,depto_hech,lugaro,tvictimas,longitud,fecha_hech,municipio_,slesionado,cid
3619,24263330,9.30465976,Febrero,CHOQUE,DESOBEDECER SEÑALES DE TRÁNSITO.,POR INFORMACION POLICIVA,0,SUCRE,Via urbana,4,-75.39871086,2019-02-22,SINCELEJO (CT),4,3619
3620,24263358,3.26468712,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via Nacional - Paso Urbano,2,-76.53254839,2019-02-05,JAMUNDÍ,2,3620
3621,24263378,3.41591001,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.47379275,2019-02-07,CALI (CT),1,3621
3622,24263413,4.41120698,Febrero,CHOQUE,TRANSITAR UNO AL LADO DEL OTRO.,POLICIA DE TRANSITO RURAL,1,VALLE,Via Nacional,1,-76.06028072,2019-02-22,ZARZAL,0,3622
3623,24263426,3.44249055,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.53136327,2019-02-07,CALI (CT),1,3623
3624,24263475,3.26213285,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,4,-76.54117583,2019-02-05,JAMUNDÍ,4,3624
3625,24263500,6.29753201,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,ANTIOQUIA,Via urbana,1,-75.53671033,2019-01-16,MEDELLÍN (CT),1,3625
3626,24263793,4.13303879,Enero,-,-,POR DENUNCIA,0,META,Via urbana,1,-73.63227292,2019-01-10,VILLAVICENCIO (CT),1,3626
3627,24263835,3.385935,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.5444625,2019-02-06,CALI (CT),1,3627
3628,24263875,3.24418029,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Vias Rurales,2,-76.52793645,2019-02-05,JAMUNDÍ,2,3628
3629,24263901,4.57982627,Febrero,CAIDA OCUPANTE,OTRA.,POLICIA DE TRANSITO URBANO,0,CUNDINAMARCA,Via urbana,1,-74.21816609,2019-02-23,SOACHA,1,3629
3630,24263960,7.36409959,Febrero,CHOQUE,DEJAR O MOVILIZAR SEMOVIENTES EN LA VÍA,POLICIA DE TRANSITO RURAL,0,ANTIOQUIA,Via Nacional,1,-76.50207392,2019-02-12,MUTATÁ,1,3630
3631,24264012,3.2621141,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.54110073,2019-02-05,JAMUNDÍ,1,3631
3632,24264038,3.36688488,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.52493653,2019-02-06,CALI (CT),1,3632
3633,24264101,9.06575396,Febrero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO RURAL,0,CÓRDOBA,Via Nacional,1,-75.82405827,2019-02-23,LORICA,1,3633
3634,24264109,3.48582839,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.4952547,2019-02-05,CALI (CT),1,3634
3635,24264110,3.22919847,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,3,-76.58238146,2019-01-27,JAMUNDÍ,3,3635
3636,24264152,1.64256378,Febrero,CHOQUE,OTRA.,POLICIA DE TRANSITO RURAL,1,NARIÑO,Via urbana,1,-77.01910146,2019-02-22,COLÓN,0,3636
3637,24264172,3.38260878,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.53816104,2019-02-05,CALI (CT),1,3637
3638,24264284,7.83372934,Febrero,CHOQUE,ADELANTAR EN ZONA PROHIBIDA,POLICIA DE TRANSITO RURAL,0,ANTIOQUIA,Via Nacional,4,-76.64558422,2019-02-13,APARTADÓ,4,3638
3639,24264325,4.56886454,Febrero,ATROPELLO,OTRA.,POLICIA DE TRANSITO URBANO,1,CUNDINAMARCA,Via urbana,1,-74.1345042,2019-02-18,BOGOTÁ D.C. (CT),0,3639
3640,24264337,3.25652985,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,2,-76.53501134,2019-02-01,JAMUNDÍ,2,3640
3641,24264575,1.03659074,Febrero,CHOQUE,"EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
",POLICIA DE TRANSITO RURAL,1,NARIÑO,Via Nacional,4,-77.69324253,2019-02-22,SAPUYES,3,3641
3642,24264578,4.61252768,Febrero,ATROPELLO,CRUZAR EN ESTADO DE EMBRIAGUEZ,POLICIA DE TRANSITO URBANO,0,CUNDINAMARCA,Via urbana,2,-74.1410229,2019-02-22,BOGOTÁ D.C. (CT),2,3642
3643,24264599,3.43513026,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.52825204,2019-01-19,CALI (CT),1,3643
3644,24264683,7.07571713,Febrero,-,-,POR INFORMACION POLICIVA,0,SANTANDER,Via urbana,1,-73.08802569,2019-02-21,FLORIDABLANCA,1,3644
3645,24264745,3.43347426,Febrero,VOLCAMIENTO,SUPERFICIE LISA,POR INFORMACION POLICIVA,0,VALLE,Via urbana,1,-76.51535971,2019-02-22,CALI (CT),1,3645
3646,24264771,8.75653069,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,CÓRDOBA,Via urbana,1,-75.87367718,2019-02-18,MONTERÍA (CT),0,3646
3647,24264805,3.41832294,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.48664642,2019-01-19,CALI (CT),1,3647
3648,24264809,4.44646539,Enero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POR FISCALIA / CRUCE SPOA-SIEDCO,0,TOLIMA,Via urbana,2,-75.2144589,2019-01-26,IBAGUÉ (CT),2,3648
3649,24264937,3.41912189,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.4784749,2019-01-20,CALI (CT),1,3649
3650,24264958,3.87452321,Febrero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,META,Vias Rurales,1,-73.76037588,2019-02-20,GUAMAL,0,3650
3651,24265010,4.44250231,Enero,CHOQUE,NO RESPETAR PRELACIÓN.,POR FISCALIA / CRUCE SPOA-SIEDCO,0,TOLIMA,Via urbana,2,-75.23092767,2019-01-26,IBAGUÉ (CT),2,3651
3652,24265079,3.39845015,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,0,VALLE,Via urbana,1,-76.55677285,2019-01-21,CALI (CT),1,3652
3653,24265185,3.28409108,Febrero,-,-,POR INFORMACION POLICIVA,0,VALLE,Via Nacional,1,-76.52570485,2019-02-22,JAMUNDÍ,1,3653
